Time,Mean direction of total swell,Mean direction of wind waves,Mean period of total swell,Mean period of wind waves,Mean wave direction,Mean wave direction of first swell partition,Mean wave direction of second swell partition,Mean wave direction of third swell partition,Mean wave period,Mean wave period of first swell partition,Mean wave period of second swell partition,Mean wave period of third swell partition,Significant height of combined wind waves and swell,Significant height of total swell,Significant height of wind waves,Significant wave height of first swell partition,Significant wave height of second swell partition,Significant wave height of third swell partition
2022/07/26 00:19,286.411472106676,235.785238156819,10.7288853467187,5.64119115094883,275.425354558626,282.80305964639,19.765491250503,216.156611103687,9.7361196519516,11.0359658895018,8.33632795809935,27.6031465883005,3.91471706778416,3.51201141847786,1.7288547872291,3.38364374344915,0.868250970050394,0.0136676093473422
2022/07/26 01:19,283.780114506146,236.576297576255,10.6794315984153,5.40247532221678,275.441834910619,280.545249688428,19.3370011115901,212.360631260419,9.83016329556883,10.8842653626679,8.37301487329141,26.3301548322386,3.94121702463756,3.61005511640486,1.57975146541747,3.57490256951293,0.786170119264817,0.0179878306927665
2022/07/26 02:19,284.016332411831,239.229642712279,10.7402279495405,5.55949161598171,275.249564137361,280.303537673463,19.6721023740733,208.454782246579,9.83373191597395,10.9259005616088,8.39953553487604,26.4402155778148,3.89016044110001,3.5322912905193,1.62455329489294,3.51502384473757,0.756990309420683,0.0165346653311238
2022/07/26 03:19,280.753229249587,235.389708447101,10.6494871269656,5.10376139749327,274.777127380212,281.006699898814,30.9282087155163,72.8432650093726,9.96933949136844,10.7985215866314,7.99774751186902,13.5538261138472,3.90464708417987,3.65703438832821,1.3663672578367,3.63478129428828,0.454477223068912,0.124383100008715
2022/07/26 04:19,280.868591482595,237.15311173626,10.7402279495405,5.28940900150337,274.183834708443,281.275879188206,30.9721564220715,72.9531341799448,9.97122876099468,10.9052890769846,8.06979530917391,13.5441018712662,3.85094050495698,3.5686199821619,1.4458772239809,3.54753784516842,0.438775385439159,0.127250155992496
2022/07/26 05:19,278.072430692053,235.527045151865,10.6971260588174,5.05306391820564,272.618201269054,279.078497233985,29.5768167389448,75.2988409716602,10.013422449314,10.8442790824971,8.22538319047035,12.9000918057863,3.88256378680203,3.63996428020699,1.35131525979158,3.58990903125024,0.403597877959625,0.146376954130875
2022/07/26 06:19,277.62746207902,232.923141229556,10.7100566260343,4.97701769927419,271.96997409064,279.029056140015,35.4383421007406,210.064365595461,10.0195100958875,10.8958077940575,8.96884573689258,27.585466147244,3.81984722224899,3.58189673292285,1.32439874564032,3.51796628821548,0.430149483221955,0.0105649049265375
2022/07/26 07:19,275.073012633829,235.829185902344,10.6914547574065,4.97191147833875,269.986838400748,275.50225810349,35.998675359319,212.338657426305,9.98571316146251,10.8479891497294,9.31670841467753,27.573531849531,3.86136382131931,3.61457796556518,1.35627356502997,3.59858923951006,0.424893074058347,0.0104863554475298
2022/07/26 08:19,274.798340650475,232.038692850881,10.7722140894982,4.97574114404033,269.525388544928,275.040807893104,36.3832177916768,210.190715141619,10.0875238024321,10.9061135363696,9.464782108525,27.5669016841348,3.85800716011788,3.62318596880579,1.3259924866098,3.61359570124737,0.437090638912361,0.0103292564895143
2022/07/26 09:19,273.21073658669,236.774062431114,10.8935799396922,5.28977373157018,267.157711308518,273.925636551337,36.7952275406315,210.690619867723,10.0161513943297,11.0322558222694,9.52622164119604,27.5602715187387,3.92143039018702,3.60027992628416,1.55159537495661,3.5787277460342,0.447401287656362,0.0104863554475298
