TIME_SERVER,MEAN_HEADING,MEAN_GPS_SOG_KNOTS,ADAPTED_MEAN_HEADING
2022-07-12 16:04:00,220.36,12.32,139.64
2022-07-12 16:09:00,220.64,12.24,139.36
2022-07-12 16:14:00,220.76,12.18,139.24
2022-07-12 16:19:00,220.66,12,139.34
2022-07-12 16:24:00,220.48,12.2,139.52
2022-07-12 16:29:00,220.68,12.32,139.32
2022-07-12 16:34:00,218.8,11.98,141.2
2022-07-12 16:39:00,219.08,11.94,140.92
2022-07-12 16:44:00,219.16,12.36,140.84
2022-07-12 16:49:00,218.9,12,141.1
2022-07-12 16:54:00,219.3,12.68,140.7
2022-07-12 16:59:00,218.74,12.38,141.26
2022-07-12 17:04:00,219.28,12.26,140.72
2022-07-12 17:09:00,218.88,12.62,141.12
2022-07-12 17:14:00,219.18,12.56,140.82
2022-07-12 17:19:00,219.48,11.88,140.52
2022-07-12 17:24:00,218.26,11.8,141.74
2022-07-12 17:29:00,219.36,12.16,140.64
2022-07-12 17:34:00,218.9,12.06,141.1
2022-07-12 17:39:00,218.66,11.98,141.34
2022-07-12 17:44:00,219.94,12,140.06
2022-07-12 17:49:00,218.16,12.2,141.84
2022-07-12 17:54:00,217.94,11.36,142.06
2022-07-12 17:59:00,217.7,11.98,142.3
2022-07-12 18:04:00,218.06,12.5,141.94
2022-07-12 18:09:00,218.34,12.3,141.66
2022-07-12 18:14:00,217.8,12,142.2
2022-07-12 18:19:00,217.86,12.08,142.14
2022-07-12 18:24:00,217.76,11.98,142.24
2022-07-12 18:29:00,218.42,12.24,141.58
2022-07-12 18:34:00,217.92,11.9,142.08
2022-07-12 18:39:00,218.14,11.62,141.86
2022-07-12 18:44:00,217.78,11.2,142.22
2022-07-12 18:49:00,217.94,11.64,142.06
2022-07-12 18:54:00,217.9,12.12,142.1
2022-07-12 18:59:00,218.42,12,141.58
2022-07-12 19:04:00,217.28,12.14,142.72
2022-07-12 19:09:00,218.5,12.1,141.5
2022-07-12 19:14:00,217.52,12.04,142.48
2022-07-12 19:19:00,218.52,12.08,141.48
2022-07-12 19:24:00,217.7,11.9,142.3
2022-07-12 19:29:00,218.28,11.4,141.72
2022-07-12 19:34:00,218.08,11.4,141.92
2022-07-12 19:39:00,219.44,10.96,140.56
2022-07-12 19:44:00,220.28,11.06,139.72
2022-07-12 19:49:00,220.14,11.36,139.86
2022-07-12 19:54:00,220.36,11.38,139.64
2022-07-12 19:59:00,219.18,11.76,140.82
2022-07-12 20:04:00,221.2,11.86,138.8
2022-07-12 20:09:00,219.32,11.54,140.68
2022-07-12 20:14:00,220.4,11.56,139.6
2022-07-12 20:19:00,219.84,11.68,140.16
2022-07-12 20:24:00,219.6,11.26,140.4
2022-07-12 20:29:00,220.18,11.18,139.82
2022-07-12 20:34:00,220.18,11.8,139.82
2022-07-12 20:39:00,219.96,11.16,140.04
2022-07-12 20:44:00,220.58,11.3,139.42
2022-07-12 20:49:00,218.12,10.56,141.88
2022-07-12 20:54:00,220.86,11.22,139.14
2022-07-12 20:59:00,220.22,11.32,139.78
2022-07-12 21:04:00,219.94,11.34,140.06
2022-07-12 21:09:00,219.36,11.26,140.64
2022-07-12 21:14:00,220.2,11.38,139.8
2022-07-12 21:19:00,220.06,11.2,139.94
2022-07-12 21:24:00,221.08,11.32,138.92
2022-07-12 21:29:00,219.64,11.24,140.36
2022-07-12 21:34:00,219.56,11.3,140.44
2022-07-12 21:39:00,220.78,11.22,139.22
2022-07-12 21:44:00,219.64,11.36,140.36
2022-07-12 21:49:00,219.32,11,140.68
2022-07-12 21:54:00,220.92,11,139.08
2022-07-12 21:59:00,222.22,10.14,137.78
2022-07-12 22:04:00,222.64,10.24,137.36
2022-07-12 22:09:00,220.94,10.66,139.06
2022-07-12 22:14:00,222.24,10.82,137.76
2022-07-12 22:19:00,222.28,10.66,137.72
2022-07-12 22:24:00,221.86,11.08,138.14
2022-07-12 22:29:00,222.24,10.7,137.76
2022-07-12 22:34:00,222.98,10.24,137.02
2022-07-12 22:39:00,220.88,11.04,139.12
2022-07-12 22:44:00,222.4,10.88,137.6
2022-07-12 22:49:00,221.34,10.58,138.66
2022-07-12 22:54:00,221.82,10.24,138.18
2022-07-12 22:59:00,223.72,10.48,136.28
2022-07-12 23:04:00,220.96,10.64,139.04
2022-07-12 23:09:00,222.66,10.96,137.34
2022-07-12 23:14:00,220.9,10.02,139.1
2022-07-12 23:19:00,226.86,9.88,133.14
2022-07-12 23:24:00,236.8,8.68,123.2
2022-07-12 23:29:00,234.62,8.92,125.38
2022-07-12 23:34:00,238.4,8.64,121.6
2022-07-12 23:39:00,235.26,9.14,124.74
2022-07-12 23:44:00,237.5,7.88,122.5
2022-07-12 23:49:00,240.46,8.4,119.54
2022-07-12 23:54:00,242.24,7.16,117.76
2022-07-12 23:59:00,242.74,8.4,117.26
2022-07-13 00:04:00,241.06,7.76,118.94
2022-07-13 00:09:00,244.68,8.62,115.32
2022-07-13 00:14:00,239.78,7.78,120.22
2022-07-13 00:19:00,244.34,8.26,115.66
2022-07-13 00:24:00,240.54,7.7,119.46
2022-07-13 00:29:00,243.76,7.6,116.24
2022-07-13 00:34:00,241.58,7.96,118.42
2022-07-13 00:39:00,241.8,8.02,118.2
2022-07-13 00:44:00,241.84,7.98,118.16
2022-07-13 00:49:00,243.62,8.88,116.38
2022-07-13 00:54:00,241.3,8.86,118.7
2022-07-13 00:59:00,238.62,8.56,121.38
2022-07-13 01:04:00,243.04,7.36,116.96
2022-07-13 01:09:00,240.9,7.26,119.1
2022-07-13 01:14:00,244.98,8.06,115.02
2022-07-13 01:19:00,241.5,8.72,118.5
2022-07-13 01:24:00,240.4,8.08,119.6
2022-07-13 01:29:00,243.56,8.14,116.44
2022-07-13 01:34:00,240.28,8.36,119.72
2022-07-13 01:39:00,238.02,8.44,121.98
2022-07-13 01:44:00,241.36,7.98,118.64
2022-07-13 01:49:00,240.46,7.7,119.54
2022-07-13 01:54:00,244.44,6.66,115.56
2022-07-13 01:59:00,242.38,7.38,117.62
2022-07-13 02:04:00,240.42,7.56,119.58
2022-07-13 02:09:00,235.62,7.02,124.38
2022-07-13 02:14:00,228.24,7.9,131.76
2022-07-13 02:19:00,223.48,8.8,136.52
2022-07-13 02:24:00,227.96,8.48,132.04
2022-07-13 02:29:00,227.38,8.22,132.62
2022-07-13 02:34:00,228.32,8.86,131.68
2022-07-13 02:39:00,226.56,8.96,133.44
2022-07-13 02:44:00,226.72,8.58,133.28
2022-07-13 02:49:00,226.78,8.8,133.22
2022-07-13 02:54:00,226.84,8.46,133.16
2022-07-13 02:59:00,226.54,8.64,133.46
2022-07-13 03:04:00,227.76,8.22,132.24
2022-07-13 03:09:00,221.3,7.36,138.7
2022-07-13 03:14:00,220.94,8.68,139.06
2022-07-13 03:19:00,216.62,9.06,143.38
2022-07-13 03:24:00,216.24,9.72,143.76
2022-07-13 03:29:00,213.46,9.04,146.54
2022-07-13 03:34:00,215.52,8.54,144.48
2022-07-13 03:39:00,214.74,9.12,145.26
2022-07-13 03:44:00,215.82,9.4,144.18
2022-07-13 03:49:00,214.56,9.38,145.44
2022-07-13 03:54:00,215.14,9.14,144.86
2022-07-13 03:59:00,215.34,9.2,144.66
2022-07-13 04:04:00,214.26,9.12,145.74
2022-07-13 04:09:00,220.64,8.6,139.36
2022-07-13 04:14:00,220.14,9.04,139.86
2022-07-13 04:19:00,218.92,8.48,141.08
2022-07-13 04:24:00,220.52,9.02,139.48
2022-07-13 04:29:00,218.68,9.1,141.32
2022-07-13 04:34:00,214.4,9.16,145.6
2022-07-13 04:39:00,217.9,9.16,142.1
2022-07-13 04:44:00,221.26,9.02,138.74
2022-07-13 04:49:00,218.94,8.76,141.06
2022-07-13 04:54:00,220.56,8.64,139.44
2022-07-13 04:59:00,217.92,7.94,142.08
2022-07-13 05:04:00,222.66,8.32,137.34
2022-07-13 05:09:00,219.64,8.88,140.36
2022-07-13 05:14:00,220.72,8.84,139.28
2022-07-13 05:19:00,218.92,8.54,141.08
2022-07-13 05:24:00,221,8.3,139
2022-07-13 05:29:00,218.52,8,141.48
2022-07-13 05:34:00,221.06,8.9,138.94
2022-07-13 05:39:00,221.06,8.68,138.94
2022-07-13 05:44:00,219.04,8.58,140.96
2022-07-13 05:49:00,220.12,8.38,139.88
2022-07-13 05:54:00,220.14,8.7,139.86
2022-07-13 05:59:00,218.74,8.34,141.26
2022-07-13 06:04:00,220.8,8.2,139.2
2022-07-13 06:09:00,220.82,9,139.18
2022-07-13 06:14:00,220.72,8.58,139.28
2022-07-13 06:19:00,218.78,9.26,141.22
2022-07-13 06:24:00,219.32,8.56,140.68
2022-07-13 06:29:00,221.02,9.44,138.98
2022-07-13 06:34:00,219.92,9.16,140.08
2022-07-13 06:39:00,220.08,8.84,139.92
2022-07-13 06:44:00,220.38,9.18,139.62
2022-07-13 06:49:00,219.36,8.84,140.64
2022-07-13 06:54:00,220.26,9.06,139.74
2022-07-13 06:59:00,220.06,9.34,139.94
2022-07-13 07:04:00,220.52,8.44,139.48
2022-07-13 07:09:00,218.36,8.62,141.64
2022-07-13 07:14:00,220.42,8.78,139.58
2022-07-13 07:19:00,220.28,8.38,139.72
2022-07-13 07:24:00,220.24,8.48,139.76
2022-07-13 07:29:00,218.52,8.54,141.48
2022-07-13 07:34:00,220.58,8.1,139.42
2022-07-13 07:39:00,220.36,8.18,139.64
2022-07-13 07:44:00,220.04,8.66,139.96
2022-07-13 07:49:00,219.8,7.4,140.2
2022-07-13 07:54:00,220.14,7.7,139.86
2022-07-13 07:59:00,219.98,8.22,140.02
2022-07-13 08:04:00,220.3,8.92,139.7
2022-07-13 08:09:00,221.04,7.92,138.96
2022-07-13 08:14:00,219.42,8.7,140.58
2022-07-13 08:19:00,218.2,9.08,141.8
2022-07-13 08:24:00,216.7,8.52,143.3
2022-07-13 08:29:00,219.4,8.46,140.6
2022-07-13 08:34:00,217.76,9,142.24
2022-07-13 08:39:00,216.96,7.86,143.04
2022-07-13 08:44:00,217.64,7.08,142.36
2022-07-13 08:49:00,219.58,8.58,140.42
2022-07-13 08:54:00,216.9,9.08,143.1
2022-07-13 08:59:00,219.14,8.54,140.86
2022-07-13 09:04:00,218.28,8.92,141.72
2022-07-13 09:09:00,218.12,8.34,141.88
2022-07-13 09:14:00,218.42,8.58,141.58
2022-07-13 09:19:00,217.88,8.52,142.12
2022-07-13 09:24:00,217.4,8.88,142.6
2022-07-13 09:29:00,217.86,8.76,142.14
2022-07-13 09:34:00,217.68,9.06,142.32
2022-07-13 09:39:00,218.6,8.78,141.4
2022-07-13 09:44:00,217.52,8.8,142.48
2022-07-13 09:49:00,217.42,8.26,142.58
2022-07-13 09:54:00,218.12,8.38,141.88
2022-07-13 09:59:00,219.08,9.36,140.92
2022-07-13 10:04:00,217.52,8.66,142.48
2022-07-13 10:09:00,216.96,8.08,143.04
2022-07-13 10:14:00,219.24,8.78,140.76
2022-07-13 10:19:00,219.08,8.54,140.92
2022-07-13 10:24:00,223.7,7.76,136.3
2022-07-13 10:29:00,224.48,8.08,135.52
2022-07-13 10:34:00,223.68,7.92,136.32
2022-07-13 10:39:00,225.08,8.56,134.92
2022-07-13 10:44:00,223.98,8.46,136.02
2022-07-13 10:49:00,224.08,8.58,135.92
